rt_label,critic,tomato_meter,tomato_perc,title_year,review
Fresh,Robert Ebert,4,--,"The Birds, the Bees and the Italians (1966)",Germi's films are filled with sheer love of movement and action and could be described as slapstick if they were not written so tightly and aimed so directly at satirical targets. -Chicago Sun-Times
Fresh,Robert Ebert,4,0.99,Le Havre (2011),"Here is the sunniest film I've seen by Aki Kaurismaki, and he reveals a lot of sunshine inside for a director whose world is usually filled with deadpan losers. -Chicago Sun-Times"
Fresh,Robert Ebert,4,0.92,Ace in the Hole (1951),"In a lesser movie, Tatum would share our sympathy for the pathetic man. Here, he's on a parabola in that direction but wants it to intersect with the moment of his own greatest fame. -RogerEbert.com"
Fresh,Robert Ebert,4,1,Diary of a Lost Girl (1929),"It's not the equal of Pandora's Box, but [Brooks's] performance is on the same high level. -Chicago Sun-Times"
Fresh,Robert Ebert,4,1,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)","Like all of Morris' films, ""Mr. Death"" provides us with no comfortable place to stand. -Chicago Sun-Times"
Fresh,Robert Ebert,4,0.82,Hair (1979),"Maybe it's just as well that this version had to wait a decade to be filmed so Forman could be hired to do it. He brings life to the musical form in the same way that West Side Story did, the last time everyone was saying the movie musical was dead. -Chicago Sun-Times"
Fresh,Robert Ebert,4,0.9,Pale Flower (1964),"Pale Flower is one of the most haunting noirs I've seen, and something more; in 1964 it was an important work in an emerging Japanese New Wave of independent filmmakers, an exercise in existential cool. -Chicago Sun-Times"
Fresh,Robert Ebert,4,--,Play It as It Lays (1972),"Play It as It Lays is an astringent, cynical movie that ultimately manages to spin one single timid thread of hope. -Chicago Sun-Times"
Fresh,Robert Ebert,4,0.92,Mon Oncle d'Amerique (1980),"The characters are sympathetic, the narrative is well-constructed, and we care. But consider one sequence. In itself it is perfectly absorbing. Then see how Resnais deconstructs it. -Chicago Sun-Times"
Fresh,Robert Ebert,4,1,Vengeance Is Mine (1979),The film gathers fearful force. -Chicago Sun-Times
Fresh,Robert Ebert,4,--,Saving Face (2011),This heartbreaking film has relevance to the cruelties toward women that are sanctioned in many lands. -Chicago Sun-Times
Fresh,Robert Ebert,4,0.7,Pink Floyd - The Wall (1982),"This isn't the most fun to listen to and some viewers don't find it to much fun to watch, but the 1982 film is without question the best of all serious fiction films devoted to rock. -Chicago Sun-Times"
Fresh,Robert Ebert,4,0.93,Marat/Sade (1967),"Brook has achieved the very difficult. He has taken an important play, made it more immediate and powerful than it was on the stage, and at the same time created a distinguished and brilliant film. -Chicago Sun-Times"
Fresh,Robert Ebert,4,0.92,Heart of Glass (1976),"I think it should be approached like a piece of music, in which we comprehend everything in terms of mood and aura, and know how it makes us feel even if we can't say what it makes us think. -Chicago Sun-Times"
Fresh,Robert Ebert,4,0.92,The Magic Flute (1975),"Ingmar Bergman has never before made a movie so warm, happy and innocent... It's as if all this joy has been building up inside him during the great decade of metaphysical films beginning with Persona. -Chicago Sun-Times"
Fresh,Robert Ebert,4,1,Make Way for Tomorrow (1937),"It's easy to imagine it being sentimentalized by a studio executive, being made more upbeat for the audience. That's not McCarey. -Chicago Sun-Times"
Fresh,Robert Ebert,4,0.91,Willy Wonka and the Chocolate Factory (1971),"Probably the best film of its sort since The Wizard of Oz. It is everything that family movies usually claim to be, but aren't: Delightful, funny, scary, exciting, and, most of all, a genuine work of imagination. -Chicago Sun-Times"
Fresh,Robert Ebert,0.5,0.2,Mannequin (1987),"This movie is a real curiosity. It's dead. I don't mean it's bad. A lot of bad movies are fairly throbbing with life. Mannequin is dead. The wake lasts 1 1/2 hours, and then we can leave the theater. -Chicago Sun-Times"
Rotten,Robert Ebert,1,--,The Last Affair (1976),"The Last Affair is an appallingly bad movie - so completely bankrupt in ideas, in characterization, in simple common sense that it's little wonder its makers bought a theater to get it shown. -Chicago Sun-Times"
Fresh,Robert Ebert,1.5,--,Serial (1980),"... for all of that, Serial just isn't very good. I think maybe that's because the characters are seen almost exclusively as caricatures. -Chicago Sun-Times"
Fresh,Robert Ebert,1.5,0.89,The St. Valentine's Day Massacre (1967),"At the end of this nonsense, to be sure, there is a massacre to brighten things up a little. But then the pall sets in again. -Chicago Sun-Times"
Fresh,Robert Ebert,1.5,0.71,Dead Man (1995),"Dead Man is a strange, slow, unrewarding movie that provides us with more time to think about its meaning than with meaning. -Chicago Sun-Times"
Fresh,Robert Ebert,1.5,--,Broken Rainbow (1985),"If a documentary cannot convince us of its basic journalistic accuracy, then it is just opinion and polemic, and the material might have been treated more effectively as fiction. -Chicago Sun-Times"
Fresh,Robert Ebert,1.5,--,Lady Chatterley's Lover (1981),It's no use comparing the book and movie versions of Lady Chatterley's Lover. They do not exist in comparable terms. They have nothing to do with one another. -Chicago Sun-Times
Fresh,Robert Ebert,1.5,--,I Love You (1981),"The movie eventually arrives at a heavily symbolic ending, with the actors addressing the audience directly and bursting into song and dance. Metaphor-hunters are welcome to pick among the ruins for symbols and meanings. -Chicago Sun-Times"
Fresh,Robert Ebert,1.5,--,In God We Trust (1980),"The movie itself is a broadside attack on televised evangelists, particularly the kind who promise quick results from God if you send in your cash donations fast. This is an old target, and Feldman contributes nothing original to the attack. -Chicago Sun-Times"
Fresh,Robert Ebert,1.5,0.55,Bad Timing: A Sensual Obsession (1980),"This film has been praised for its honesty, but it would have taken far more honesty (not to mention courage) to deal with the personality disorders of these characters instead of simply burying them in blood, sex, and noise. -Chicago Sun-Times"
Fresh,Robert Ebert,1.5,0.33,"Yes, Giorgio (1982)","This is a bad movie, but it would have been a great deal worse were it not for Pavarotti's almost childlike charm. -Chicago Sun-Times"
Fresh,Robert Ebert,1.5,--,Jinxed! (1982),"This is a messed-up movie that throws away what few opportunities it has to entertain us, and gets totally lost in a plot that starts as comedy and moves through farce on its way to paralysis. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,Live for Life (1967),[Live for Life] has all of the faults of A Man and a Women and none of the virtues and is an ugly and corrupt film which pretends to be beautiful and ethical. -Chicago Sun-Times
Rotten,Robert Ebert,2,--,Counterpoint (1968),"Counterpoint is possibly the most unlikely war movie of 1968, but it has a perverse charm and a lot of good classical music. -Chicago Sun-Times"
Rotten,Robert Ebert,2,0.2,Pendulum (2002),It's so badly written and indifferently directed that it degrades its subject; a few more movies like this could put lawnorder out of business for good. -Chicago Sun-Times
Rotten,Robert Ebert,2,--,The Monkey Hustle (1976),"Monkey Hustle is a good-hearted muddle, a totally confused movie that manages to be fun from time to time. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,Mr. Ricco (1975),"Mr. Ricco keeps us waiting through two hours of yawn inducing ""suspense"" for an ending that's totally off the wall. -Chicago Sun-Times"
Fresh,Robert Ebert,2.5,0.64,The Bed Sitting Room (1969),"All of the characters are mad, of course, but that's not the point; this isn't a heavy-handed anti-war parable, but a series of sketches that gradually grow more and more grim. -Chicago Sun-Times"
Fresh,Robert Ebert,2.5,--,Galia (1966),"Georges Lautner's Galia opens and closes with arty shots of the ocean, mother of us all, but in between it's pretty clear that what is washing ashore is the French New Wave. -Chicago Sun-Times"
Fresh,Robert Ebert,2.5,0.14,Caprice (1967),"If [Doris Day's] movies never go anywhere, at least they don't take all day about it. -Chicago Sun-Times"
Fresh,Robert Ebert,2.5,0.42,My Life (1993),"My Life should be a more rigorous and single-minded film; maybe it started that way, before getting spoonfuls of honey to make the medicine go down. -Chicago Sun-Times"
Fresh,Robert Ebert,2.5,--,Lies My Father Told Me (1975),"No attempt is really made to make these people more than stereotypes, but they play their roles with sufficient gusto to make them interesting. -Chicago Sun-Times"
Fresh,Robert Ebert,2.5,--,Chuka (1967),"Rod Taylor's Chuka is an intelligently acted and directed Western that has been burdened, for some reason, with a plot so melodramatic that the effect is lost. -Chicago Sun-Times"
Fresh,Robert Ebert,2.5,0.75,The Chosen (1981),"The Chosen never came alive for me. I respected what the filmmakers were trying to do, and I admired the ambitious period production, but I never really cared about these people. -Chicago Sun-Times"
Fresh,Robert Ebert,2.5,--,The Happening (1967),"The film as a whole is well made, if a trifle slowly paced, and one or two of the comedy sequences are inspired. -Chicago Sun-Times"
Fresh,Robert Ebert,2.5,--,The Salamander (1971),"The movie finally doesn't quite win us over. It moves too slowly; it tries to do too much at its leisurely pace. We don't hate it, or want to walk out. We're just left a little too relaxed. -Chicago Sun-Times"
Fresh,Robert Ebert,2.5,--,Man and Boy (1972),"The movie lacks structure and discipline, and we're left hanging too often while plot points are shoveled in. -Chicago Sun-Times"
Fresh,Robert Ebert,2.5,--,The Valachi Papers (1972),"We're not involved enough to really care that much about Joe Valachi, and the movie becomes a series of high points on the road to a labored conclusion. -Chicago Sun-Times"
Fresh,Robert Ebert,2.5,0.5,Joe Hill (1971),"Widerberg doesn't take the Wobbly brand of anarcho-syndicalism, the ""one big union"" philosophy, at all seriously. It's not that he should; it's that the movie is lightweight because he doesn't. -Chicago Sun-Times"
Rotten,Robert Ebert,3,0.14,The Next Man (1976),A movie with an impenetrable plot that nevertheless has its moments. -Chicago Sun-Times
Rotten,Robert Ebert,3,--,Triple Cross (1967),"A slow-paced, loosely plotted excursion into the Spy business. One or two competent performances struggle to its surface, tread water briefly and sink. It's hard to fix the blame. -Chicago Sun-Times"
Rotten,Robert Ebert,3,--,Alex and the Gypsy (1976),"Alex and the Gypsy takes a strange, disjointed story and tells it with enough style that the movie sometimes works in spite of itself. -Chicago Sun-Times"
Rotten,Robert Ebert,3,--,Hawmps! (1976),"It's about camels, and it makes one thing perfectly clear: Camels are not as endearing as dogs. -Chicago Sun-Times"
Rotten,Robert Ebert,3,0.5,From Noon Till Three (1976),"The movie opens unsteadily and takes too long to close, but the things that happen between noon and three give us new ideas about Bronson's possibilities. -Chicago Sun-Times"
Fresh,Robert Ebert,3.5,0.86,La Caza (1966),"Director Saura's fine sense of pace is greatly responsible for the growth of tension in a film which, for most of its length, pretends to be just an ordinary record of an unremarkable day. -Chicago Sun-Times"
Fresh,Robert Ebert,3.5,0.98,Cell 211 (2009),"In addition to its effectiveness as a thriller, it is also a film showing a man in the agonizing process of changing his values. And it is a critique of a cruel penal system. -RogerEbert.com"
Fresh,Robert Ebert,3.5,0.62,Best Friends (1982),"So far, this sounds like a series of fairly predictable scenes. But they're redeemed by the writing and acting. The dialogue doesn't sound like reprocessed sitcom, and there are charming moments. -Chicago Sun-Times"
Fresh,Robert Ebert,3.5,0.89,Taxi to the Toilet (1980),"Taxi zum Klo is an unsparingly honest film, documentary matched with (I assume) docudrama, in which Ripploh reveals himself fearlessly. -Chicago Sun-Times"
Fresh,Robert Ebert,3.5,0.56,Immortal Beloved (1994),"There is an image in Immortal Beloved as evocative as any I can remember -- as complete as the sled in Citizen Kane, or the shadowy doorway in The Third Man. -Chicago Sun-Times"
Fresh,Robert Ebert,4,1,The Go-Between (1971),"Joseph Losey's The Go-Between is about class distinction and its warping effect upon the life of one small boy... Losey and his screenwriter, Harold Pinter, are terribly observant about small nuances of class. -Chicago Sun-Times"
Rotten,Gene Siskel,1,0.44,I Know What You Did Last Summer (1997),A dreadful mad slasher film that works neither as a thriller nor as a comic commentary on the genre. -Chicago Tribune
Rotten,Gene Siskel,1,0.31,Empire Records (1995),A lousy comic drama about the efforts of some independent record store employees to maintain the integrity of their business. -Chicago Tribune
Rotten,Gene Siskel,1,0.33,Rising Sun (1993),A major disappointment from first-class director Philip Kaufman. -Chicago Tribune
Rotten,Gene Siskel,1,0.3,Harry and Son (1984),"At best, this material is standard, safe, pseudo-heartwarming TV fare. As a feature film it is a crime. -Chicago Tribune"
Rotten,Gene Siskel,1,0.3,RoboCop 2 (1990),Gone is the heart of the first film with its mini-tragedy of a man trapped in a machine. -Chicago Tribune
Rotten,Gene Siskel,1,0.2,Poltergeist II (1986),"It does nothing for me, absolutely nothing, to see little kids scream in horror as special effects clouds and horrific creatures swirl around them. -Chicago Tribune"
